1;1;Отличная новость!;2;2024-01-01;10:05:00
2;1;Спасибо за информацию.;3;2024-01-01;10:10:00
3;2;Ждем результатов.;1;2024-01-02;11:05:00
4;3;Интересное мнение.;2;2024-01-03;12:10:00
5;4;Очень познавательно.;3;2024-01-04;13:15:00
6;5;Буду пробовать.;1;2024-01-05;14:20:00
7;6;Согласен с автором.;2;2024-01-06;15:25:00
8;7;Отличная работа!;3;2024-01-07;16:30:00
9;8;Очень полезно.;1;2024-01-08;17:35:00
10;9;Интересная статья.;2;2024-01-09;18:40
11;10;крутая новость;11;2025-09-24;13:00:04
12;2;zarudid;11;2025-09-25;22:45:07
13;4;1;11;2025-09-26;11:08:36
14;1;zarudid;11;2025-09-26;11:22:01
15;1;kruto!;1;2025-09-26;11:23:16
16;19;серега даун;11;2025-10-01;11:59:28
